%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208979, 2021/03/4 9:50:2.79)
1 11  4.778096962756286530e+02 0 0 4.161098e+00 3.952561e+00 3.038112e+00 3.034156e+00 4.593659e+00 5.532580e+00 2.159098e+00 3.997500e+00 6.229971e+00 1.902770e+00 
2 21  4.962182693385453831e+02 0 0 3.958187e+00 5.333917e+00 4.895774e+00 3.690554e+00 7.104678e+00 5.398203e+00 2.335865e+00 4.211459e+00 2.884407e+00 3.147125e+00 
3 31  3.855389672012581741e+02 0 0 4.177777e+00 7.004634e+00 1.544869e+00 1.433015e+00 4.068252e+00 4.823271e+00 -6.487520e-01 4.291224e+00 3.870113e+00 2.966525e+00 
4 41  3.709795494553676463e+02 0 0 1.312812e+00 5.352564e+00 5.307709e-01 2.073846e+00 5.633377e+00 5.225303e+00 -1.552733e+00 1.041433e+00 2.889006e+00 2.666780e+00 
5 51  2.689864609978253611e+02 0 0 1.344721e+00 5.315546e+00 -1.764243e+00 1.318816e+00 4.918512e+00 4.193390e+00 5.505848e-01 8.084143e-01 3.218992e+00 2.499849e+00 
6 61  2.381230047390203026e+02 0 0 -2.921455e-01 2.250546e+00 -1.543566e+00 -7.106904e-01 4.065536e+00 5.055909e+00 7.633559e-01 1.964713e+00 1.591129e+00 1.386037e+00 
7 71  1.882736786068784909e+02 0 0 9.986607e-02 3.855211e+00 -2.264485e+00 2.094023e+00 1.079300e-02 4.253807e+00 1.027382e+00 -1.754347e+00 -1.845970e+00 -1.513575e+00 
8 81  1.437715406506859495e+02 0 0 1.151799e+00 2.914676e+00 -8.076287e-01 5.947490e-01 2.667069e+00 1.839494e+00 -1.303012e-01 -1.039660e+00 2.546578e+00 6.053803e-01 
9 91  1.721916927047427066e+02 0 0 -5.631236e-01 7.553893e-02 -2.867922e+00 1.140790e-01 2.306193e+00 -8.032882e-01 4.470184e+00 1.840591e-01 6.485125e-01 -2.515585e+00 
10 101  1.566106681918697348e+02 0 0 -1.714715e+00 3.560868e+00 -1.910221e+00 -9.250509e-01 -3.777145e-01 1.651873e+00 -1.614397e+00 -2.317122e+00 -4.484785e-01 -1.083907e+00 
