%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208979, 2021/03/4 9:50:2.79)
1 11 1.479096e+00 1.117565e+00  4.778096962756286530e+02  4.778096962756286530e+02  6.814212957676369342e+02  8.127984788092438748e+02 2.000000
2 21 1.503688e+00 1.188505e+00  4.778096962756286530e+02  4.962182693385453831e+02  5.743516152066879386e+02  6.779803004997992275e+02 2.000000
3 31 1.640809e+00 1.315967e+00  3.855389672012581741e+02  3.855389672012581741e+02  5.122988594978760375e+02  7.239648920911120058e+02 2.000000
4 41 1.808997e+00 1.453997e+00  3.709795494553676463e+02  3.709795494553676463e+02  4.264470588829834128e+02  5.453324506598698918e+02 2.000000
5 51 1.949582e+00 1.556315e+00  2.689864609978253611e+02  2.689864609978253611e+02  4.052297045918744516e+02  5.530324629592698784e+02 2.000000
6 61 2.064699e+00 1.616188e+00  2.381230047390203026e+02  2.381230047390203026e+02  3.121870665652953676e+02  5.793539535601870512e+02 2.000000
7 71 2.243446e+00 1.690094e+00  1.882736786068784909e+02  1.882736786068784909e+02  2.509721029808561354e+02  4.679445210156593475e+02 2.000000
8 81 2.272999e+00 1.714536e+00  1.437715406506859495e+02  1.437715406506859495e+02  2.568807995984923878e+02  4.204462508496924897e+02 2.000000
9 91 2.301747e+00 1.745085e+00  1.437715406506859495e+02  1.721916927047427066e+02  2.335180380830891522e+02  3.437570401404757945e+02 2.000000
10 101 2.166883e+00 1.794573e+00  1.437715406506859495e+02  1.566106681918697348e+02  2.201848767752113645e+02  3.508898348576722128e+02 2.000000
11 111 2.194310e+00 1.864003e+00  9.989629049983673781e+01  9.989629049983673781e+01  1.870450180184748206e+02  3.724739056169071318e+02 2.000000
12 121 2.120611e+00 1.883693e+00  9.989629049983673781e+01  1.547806920902513923e+02  2.218108424000590730e+02  2.519460442918473575e+02 2.000000
13 131 2.033563e+00 1.875463e+00  9.989629049983673781e+01  1.694452484862944459e+02  2.354391912785160628e+02  3.621929637061776361e+02 2.000000
14 141 1.888531e+00 1.871422e+00  9.989629049983673781e+01  1.117006142764023622e+02  2.248853779450911361e+02  2.947629071727840824e+02 2.000000
15 151 1.670803e+00 1.870562e+00  9.989629049983673781e+01  1.617595784543829609e+02  2.153054664535681013e+02  3.458917037585722483e+02 2.000000
16 161 1.444884e+00 1.856347e+00  9.989629049983673781e+01  1.156738241207284830e+02  1.822444875563889184e+02  2.224673967696045906e+02 2.000000
17 171 1.292736e+00 1.871145e+00  9.653492606949609467e+01  9.653492606949609467e+01  1.476878916762674407e+02  2.144600142943912715e+02 2.000000
18 181 1.209172e+00 1.853921e+00  9.631709577736052097e+01  9.631709577736052097e+01  1.644062886584442822e+02  2.237140246613492423e+02 2.000000
19 191 1.075745e+00 1.849837e+00  9.631709577736052097e+01  1.214940301055226115e+02  1.595227115255744650e+02  1.938172524722947685e+02 2.000000
20 201 9.798248e-01 1.862113e+00  9.631709577736052097e+01  1.179938891025927461e+02  1.514826388042189933e+02  1.993959083172699991e+02 2.000000
21 211 9.197193e-01 1.861754e+00  8.930186664652029549e+01  8.930186664652029549e+01  1.263290741050427641e+02  2.135207946095536329e+02 2.000000
22 221 8.701229e-01 1.891036e+00  8.930186664652029549e+01  1.086283429668672227e+02  1.237782421773273711e+02  1.623464804561902213e+02 2.000000
23 231 8.456923e-01 1.909311e+00  8.198498109928638655e+01  8.198498109928638655e+01  1.431281257610368982e+02  1.789751984759004131e+02 2.000000
24 241 8.168018e-01 1.935039e+00  8.198498109928638655e+01  1.237352618506471060e+02  1.411800466650886960e+02  1.959511135506787127e+02 2.000000
25 251 7.690658e-01 1.954354e+00  8.198498109928638655e+01  9.768937970713366781e+01  1.399744615367544043e+02  1.914795022982803232e+02 2.000000
26 261 7.110895e-01 1.973914e+00  8.198498109928638655e+01  8.912263634751053587e+01  1.460591521246360003e+02  1.856965964338888853e+02 2.000000
27 271 7.070430e-01 1.986640e+00  8.198498109928638655e+01  1.137130780441319473e+02  1.357051561612996124e+02  1.818196586554639964e+02 2.000000
28 281 6.416404e-01 1.992764e+00  8.198498109928638655e+01  9.330764481613149997e+01  1.233214410682867594e+02  1.809972822842811127e+02 2.000000
29 291 6.068534e-01 1.992738e+00  8.198498109928638655e+01  1.062373976028484321e+02  1.333702558853812548e+02  1.849251759593649069e+02 2.000000
30 301 5.861968e-01 1.983338e+00  8.198498109928638655e+01  1.001828614605138910e+02  1.199599498491094209e+02  1.570196351596895283e+02 2.000000
31 311 5.949512e-01 1.980860e+00  8.198498109928638655e+01  1.146767938203957300e+02  1.391015713191121677e+02  1.821926037584022708e+02 2.000000
32 321 5.584703e-01 1.985778e+00  8.198498109928638655e+01  8.762427620908911763e+01  1.419071770637731333e+02  1.742125317586689732e+02 2.000000
33 331 5.695868e-01 1.990793e+00  8.090256636033400639e+01  8.090256636033400639e+01  1.378159879455056966e+02  1.618136740203562454e+02 2.000000
34 341 5.374176e-01 1.987591e+00  7.461163764985678881e+01  7.461163764985678881e+01  1.204434844590942930e+02  1.705430371699918908e+02 2.000000
35 351 5.357971e-01 1.980775e+00  7.461163764985678881e+01  9.590881147964867637e+01  1.274342953473336451e+02  1.572482912726339350e+02 2.000000
36 361 5.125336e-01 1.984898e+00  7.461163764985678881e+01  1.022179885277267459e+02  1.170222607349355997e+02  1.423624816417064949e+02 2.000000
37 371 5.227329e-01 2.002159e+00  7.461163764985678881e+01  8.611401400421105734e+01  1.276895987509859367e+02  1.651455969805374195e+02 2.000000
38 381 5.080640e-01 1.971773e+00  7.461163764985678881e+01  7.982755869050984643e+01  1.016121097598447420e+02  1.674417769704189141e+02 2.000000
39 391 5.185737e-01 1.958822e+00  7.461163764985678881e+01  9.615293956189597679e+01  1.152519916957344748e+02  1.290620748512757530e+02 2.000000
40 401 5.343836e-01 1.962386e+00  6.281559415491527432e+01  6.281559415491527432e+01  1.061637871455075413e+02  1.429606898353294184e+02 2.000000
41 411 5.615889e-01 1.981669e+00  6.281559415491527432e+01  7.557554607524866697e+01  1.193131730775610606e+02  1.659455088140798296e+02 2.000000
42 421 5.551444e-01 2.005581e+00  6.281559415491527432e+01  6.520051001273083102e+01  1.066795299688303373e+02  1.644212291434184010e+02 2.000000
43 431 5.124716e-01 2.007596e+00  6.281559415491527432e+01  1.061838571962207283e+02  1.210473189804268088e+02  1.440398517628461548e+02 2.000000
44 441 4.957332e-01 2.008400e+00  6.281559415491527432e+01  6.782418909607655166e+01  1.283359143910812747e+02  1.555713767815813071e+02 2.000000
45 451 5.121774e-01 2.076725e+00  6.281559415491527432e+01  8.824242238457969734e+01  1.109259937259561184e+02  1.468445688342206950e+02 2.000000
46 461 5.066867e-01 2.088794e+00  6.281559415491527432e+01  7.218359711897073794e+01  1.285305491485863740e+02  1.551293147011670328e+02 2.000000
47 471 4.864702e-01 2.090395e+00  6.281559415491527432e+01  7.956473164033241119e+01  1.182361033115234079e+02  1.486447820470946795e+02 2.000000
48 481 4.960120e-01 2.118932e+00  6.281559415491527432e+01  9.955935417667947718e+01  1.120618340361818071e+02  1.653979923323740593e+02 2.000000
49 491 5.049707e-01 2.138769e+00  6.281559415491527432e+01  6.835302780412553147e+01  9.673074399225751563e+01  1.364721767040275040e+02 2.000000
50 501 4.891545e-01 2.177002e+00  6.281559415491527432e+01  1.126203795207295286e+02  1.361280930894837411e+02  1.513874436785380624e+02 2.000000
51 511 4.720794e-01 2.190788e+00  6.281559415491527432e+01  7.786706337658466737e+01  1.108800568406768150e+02  1.712438392423041762e+02 2.000000
52 521 4.806020e-01 2.251545e+00  6.281559415491527432e+01  7.847629233079658206e+01  1.211283643180316432e+02  1.447155357575550454e+02 2.000000
53 531 4.765040e-01 2.208174e+00  6.047806470618528607e+01  6.047806470618528607e+01  1.271259597316129373e+02  1.432422470241645271e+02 2.000000
54 541 4.584576e-01 2.224369e+00  6.047806470618528607e+01  1.026480596714524580e+02  1.145582327249891819e+02  1.507015798264319528e+02 2.000000
55 551 4.460899e-01 2.234029e+00  6.047806470618528607e+01  9.387431441905208374e+01  1.407962948046499605e+02  1.541413228692912014e+02 2.000000
56 561 4.722057e-01 2.257888e+00  6.047806470618528607e+01  9.743694334533245183e+01  1.290839497288746713e+02  1.485863183885239209e+02 2.000000
57 571 5.055291e-01 2.305831e+00  6.047806470618528607e+01  7.253015047885638467e+01  1.129723837142317961e+02  1.638621181474807145e+02 2.000000
58 581 5.485365e-01 2.388160e+00  6.047806470618528607e+01  1.089397712712935515e+02  1.251374570420832697e+02  1.637629297213988764e+02 2.000000
59 591 5.493856e-01 2.404052e+00  6.047806470618528607e+01  9.600527353367492367e+01  1.316950794515571204e+02  1.498185154406755544e+02 2.000000
60 601 5.486780e-01 2.358354e+00  6.047806470618528607e+01  8.700056925808858921e+01  1.244787605033326372e+02  1.538730003980540744e+02 2.000000
61 611 5.705213e-01 2.391103e+00  6.047806470618528607e+01  7.846717897304239386e+01  1.117496791771972653e+02  1.540089307718570524e+02 2.000000
62 621 5.618578e-01 2.384497e+00  6.047806470618528607e+01  8.010241792544226769e+01  1.235144106016709600e+02  1.503890972070372811e+02 2.000000
63 631 5.730252e-01 2.411331e+00  6.047806470618528607e+01  8.351058503607829664e+01  1.232383983295197254e+02  1.646172828419549035e+02 2.000000
64 641 5.507897e-01 2.404755e+00  6.047806470618528607e+01  8.385846305953678836e+01  1.156824692596361075e+02  1.652858905759353831e+02 2.000000
65 651 5.526423e-01 2.557476e+00  6.047806470618528607e+01  7.131375013185446221e+01  1.157815416097328551e+02  1.462150309377996678e+02 2.000000
66 661 5.409846e-01 2.676071e+00  6.047806470618528607e+01  1.028746807373006789e+02  1.310387721267732104e+02  1.379412658592397349e+02 2.000000
67 671 5.197181e-01 2.685812e+00  6.047806470618528607e+01  7.466636816411801192e+01  1.196589262209255651e+02  1.691511787581154351e+02 2.000000
68 681 5.453879e-01 2.706477e+00  6.047806470618528607e+01  9.667148173781205855e+01  1.327905636387864092e+02  1.415063118052281084e+02 2.000000
69 691 5.074993e-01 2.710732e+00  6.047806470618528607e+01  8.647180179379597575e+01  1.108224178399379412e+02  1.479196193441487992e+02 2.000000
70 701 5.110574e-01 2.717288e+00  6.047806470618528607e+01  8.124195040439812487e+01  1.187232283043425696e+02  1.556021671456132083e+02 2.000000
